,a,e
0,0.055,0.08
1,0.055,0.08
2,0.055,0.08
3,0.055,0.081
4,0.055,0.081
5,0.055,0.081
6,0.055,0.082
7,0.055,0.082
8,0.055,0.082
9,0.055,0.083
10,0.055,0.083
11,0.055,0.083
12,0.055,0.083
13,0.055,0.083
14,0.055,0.083
15,0.055,0.083
16,0.055,0.083
17,0.055,0.083
18,0.055,0.083
19,0.056,0.083
20,0.056,0.083
21,0.056,0.083
22,0.056,0.083
23,0.056,0.083
24,0.056,0.083
25,0.056,0.083
26,0.056,0.083
27,0.056,0.084
28,0.056,0.084
29,0.056,0.084
30,0.056,0.085
31,0.056,0.085
32,0.056,0.085
33,0.056,0.085
34,0.056,0.085
35,0.055,0.085
36,0.055,0.085
37,0.055,0.085
38,0.055,0.085
39,0.054,0.085
40,0.054,0.086
41,0.054,0.086
42,0.053,0.086
43,0.053,0.086
44,0.053,0.086
45,0.053,0.086
46,0.053,0.086
47,0.053,0.086
48,0.053,0.086
49,0.053,0.086
50,0.053,0.087
51,0.053,0.086
52,0.053,0.086
53,0.053,0.086
54,0.052,0.086
55,0.052,0.086
56,0.052,0.086
57,0.052,0.086
58,0.053,0.086
59,0.053,0.086
60,0.053,0.086
61,0.053,0.086
62,0.054,0.086
63,0.054,0.086
64,0.054,0.086
65,0.054,0.086
66,0.054,0.086
67,0.054,0.086
68,0.054,0.086
69,0.054,0.086
70,0.054,0.086
71,0.054,0.086
72,0.054,0.086
73,0.054,0.086
74,0.054,0.086
75,0.054,0.086
76,0.054,0.086
77,0.054,0.086
78,0.054,0.086
79,0.054,0.086
80,0.054,0.086
81,0.054,0.087
82,0.054,0.087
83,0.054,0.087
84,0.054,0.087
85,0.055,0.087
86,0.055,0.087
87,0.055,0.087
88,0.054,0.088
89,0.054,0.088
90,0.054,0.088
91,0.054,0.088
92,0.054,0.089
93,0.055,0.089
94,0.055,0.089
95,0.055,0.089
96,0.055,0.089
97,0.055,0.09
98,0.054,0.09
99,0.054,0.09
100,0.054,0.09
101,0.054,0.09
102,0.054,0.09
103,0.055,0.09
104,0.055,0.09
105,0.055,0.089
106,0.055,0.089
107,0.055,0.089
108,0.055,0.089
109,0.055,0.089
110,0.055,0.089
111,0.055,0.089
112,0.055,0.089
113,0.055,0.089
114,0.055,0.089
115,0.055,0.089
116,0.055,0.089
117,0.055,0.089
118,0.055,0.089
119,0.055,0.089
120,0.055,0.089
121,0.055,0.089
122,0.055,0.089
123,0.055,0.089
124,0.055,0.089
125,0.055,0.089
126,0.055,0.089
127,0.055,0.089
128,0.055,0.089
129,0.055,0.089
130,0.055,0.089
131,0.055,0.089
132,0.055,0.089
133,0.055,0.089
134,0.055,0.089
135,0.055,0.089
136,0.055,0.089
137,0.055,0.089
138,0.055,0.089
139,0.055,0.089
140,0.055,0.089
141,0.055,0.089
142,0.055,0.089
143,0.055,0.089
144,0.055,0.09
145,0.055,0.09
146,0.055,0.09
147,0.054,0.09
148,0.055,0.09
149,0.055,0.09
150,0.055,0.09
151,0.055,0.09
152,0.056,0.09
153,0.056,0.09
154,0.056,0.09
155,0.056,0.09
156,0.056,0.09
157,0.056,0.09
158,0.056,0.09
159,0.056,0.09
160,0.056,0.09
161,0.056,0.09
162,0.056,0.09
163,0.057,0.09
164,0.057,0.09
165,0.057,0.09
166,0.057,0.09
167,0.057,0.09
168,0.057,0.09
169,0.057,0.091
170,0.057,0.091
171,0.057,0.091
172,0.057,0.091
173,0.057,0.092
174,0.057,0.092
175,0.057,0.092
176,0.057,0.093
177,0.057,0.093
178,0.058,0.093
179,0.058,0.093
180,0.058,0.094
181,0.058,0.094
182,0.058,0.094
183,0.058,0.094
184,0.058,0.094
185,0.059,0.094
186,0.059,0.094
187,0.059,0.094
188,0.059,0.094
189,0.059,0.094
190,0.059,0.094
191,0.059,0.094
192,0.059,0.094
193,0.059,0.094
194,0.059,0.094
195,0.059,0.094
196,0.059,0.094
197,0.059,0.094
198,0.059,0.094
199,0.059,0.094
200,0.059,0.094
201,0.059,0.094
202,0.059,0.094
